status,sources,category,title,summary,description,value,tags,link,query,contact,identifier
1,solarscout,Open Energy Information,OpenEI,"OpenEI provides data access, generative data use, key knowledge derivation tools, and synthetic datasets that can help inform energy policy and investment decisions. It enables the development of knowledge bases and datasets API's and Web services. It houses the Transparent Cost Database (TCDB) and the Utility Rate Database (URDB).","This open-data ""platform of platforms"" provides data access, generative data use, key knowledge derivation tools, and synthetic datasets that can help inform energy policy and investment decisions.  OpenEI also enables the development of knowledge bases and datasets and the delivery of energy-related data, application programming interfaces (APIs), and Web services. It houses the Transparent Cost Database (TCDB) and the Utility Rate Database (URDB).","OpenEI supports the DOE fulfillment of open government standards: transparency, public participation, and collaboration. Built utilizing the standards and practices of the Linked Open Data community, the OpenEI platform is much more robust and powerful than typical websites and databases.",portal,http://en.openei.org/wiki/Main_Page,,Debbie Brodt-Giles,
1,solarscout,Photo Voltaic Data Acquisition,Photo Voltaic Data Acquisition API,This API provides access to PV performance data collected by NREL for systems throughout the country.,The PVDAQ API provides access to photovoltaic performance data collected by NREL for systems throughout the country. The PVDAQ mapping application uses these data to help industry and government planners study solar array efficiency.,These data are difficult to find and so numerous that they are difficult to download in bulk. This application provides access to these data in a way that allows users to explore them visually and to download only the portions of the data needed for analysis.,api,http://developer.nrel.gov/docs/solar/pvdaq-v3/,,Dan Getman,990da420-d803-4084-afa3-95404fa0d6bd
1,solarscout,Photo Voltaic Data Acquisition,Photo Voltaic Data Acquisition Application,Users can explore data visually thru the application and download only the portions of the data necessary for analysis.,"The PV Data Acquisition application provides the access, both public and private, to PV performance data across the United States.",These data are difficult to find and so numerous that they are difficult to download in bulk. This application provides access to these data in a way that allows users to explore them visually and to download only the portions of the data needed for analysis.,web,http://maps.nrel.gov/pvdaq,,Dan Getman,
1,"solarscout,sunshot",Photo Voltaic Watts,Photo Voltaic Watts (PVWatts),"Users can get an estimate of expected hourly, monthly and annual PV system production for U.S. and international locations.",This popular tool calculates the electrical energy produced by a grid-connected PV system and the approximate cost-of-energy in comparison to average utility rates.,"PVWatts provides the general public with a basic solar performance modeling tool. Users can get an estimate of expected hourly, monthly and annual PV system production for U.S. and international locations. The new update includes a rooftop drawing tool and simple economic and incentive analysis options.",web,http://pvwatts.nrel.gov,pvwatts+tags:solar,Nate Blair,
1,solarscout,Photo Voltaic Watts,Photo Voltaic Watts API Version 4,This API calculates the energy production of grid-connected PV energy systems. Version 4 estimates the performance of hypothetical residential and small commercial PV installations.,The PVWatts API calculates the energy production of grid-connected PV energy systems. V4 estimates the performance of hypothetical residential and small commercial PV installations.,This tool matches output from the previous version of the PVWatts online tool.,api,http://developer.nrel.gov/docs/solar/pvwatts-v4/,,Nate Blair,392cf124-b37e-4d3c-b04c-29a2fd3cfabd
1,solarscout,Photo Voltaic Watts,Photo Voltaic Watts API Version 5,"This version applies updated defaults, inverter curve, and other options to match the September 2014 update to PVWatts. It is recommended users adopt Version 5.","The PVWatts V5 API calculates the energy production of grid-connected PV energy systems. This version estimates the performance of hypothetical residential and small commercial PV installations. It applies updated defaults, inverter curve, and other options to match the September 2014 update to PVWatts.",This tool matches output from the September 2014 update of the PVWatts online tool.,api,http://developer.nrel.gov/docs/solar/pvwatts-v5/,,Nate Blair,
1,solarscout,Utility Rate Database,Average Utility Rate by Census Region API,"Given a location and Census Bureau region level (block, blockgroup, tract), this API returns the Census Bureau ID, utility rate, and company information.","Given a location and Census Bureau region level (block, blockgroup, tract), this tool returns the Census Bureau ID, utility rate, and company information.","This tool provides a free, public source for utility rate quantitative information.",api,http://developer.nrel.gov/docs/electricity/census-rate-v3/,,Nate Blair,2b2ad06c-dc85-4d5d-b445-34e27343c697
1,solarscout,Utility Rate Database,Average Utility Rate by Utility Boundary API,"This API returns annual average utility rates ($/kWH) for residential, commercial and industrial sectors. Users can also search the local utility name for a specific location.","This tool returns annual average utility rates ($/kWH) for residential, commercial and industrial sectors as well as the local utility name for a specific location. It does not return complex rate information. The data source is Ventyx Research Inc. and the Energy Information Agency (EIA), and was updated with 2012 numbers. Version 3 is the current version of the utility rates API. Previous versions have been deprecated and its users are encouraged to migrate to this newly enhanced version.","This tool provides a free, public source for utility rate quantitative information.",api,http://developer.nrel.gov/docs/electricity/utility-rates-v3/,,Nate Blair,
1,"solarscout,sunshot",Utility Rate Database,Utility Rate Database API,This API allows access to complex utility rate structure information (across all sectors) for most U.S. utility companies.,"Access complex utility rate structure information (across all sectors) for most U.S. utility companies from the Utility Rate Database. This information is collected and quality controlled on a continual basis by Illinois State University on behalf of DOE and housed within the OpenEI.org platform. To browse available data, see the OpenEI U.S. Utility Rate Database page.","This tool provides a free, public source for utility rate quantitative information.",api,http://en.openei.org/services/doc/rest,utility+rate+database+api,Nate Blair,aa735d15-34f1-46d4-aad8-2074809a54cf
0,sunshot,Cost and Economic Analyses,Rooftop Solar Challenge (RSC) Database,The RSC has expired. The API requires a key but there's no clear way to get one.,"The Solar Metrics Online Portal collects data from teams participating in the Rooftop Solar Challenge (RSC II). The data is collected from each jurisdiction on a team over three time periods (past, present, and future). The data collected is used to calculate a team's market maturity using the Solar Market Maturity Model (SM3). The SM3 is organized around four Action Areas: Permitting and Interconnection; Financing; Planning and Zoning; and Net Metering and Interconnection Standards. Each team's data is translated into a score with a maximum of 1000.",Useful to explore progress of RSC teams.,api,https://catalog.data.gov/dataset/rooftop-solar-challenge-rsc-database,rooftop+solar+challenge+database+tags:solar,,
